,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.8776,0.8795,0.6383,0.1919,0.4501,0.601,0.6273,0.6253,0.6592
F1,S,0.2346,0.2253,0.3295,0.1994,0.2302,0.2857,0.3494,0.3188,0.3299
Gmean,30,0.3774,0.3468,0.7195,0.2227,0.5606,0.6063,0.7406,0.6971,0.7155
B_Acc,C,0.5779,0.6031,0.7419,0.5332,0.6048,0.6809,0.76,0.7186,0.7296
Pre,S,0.3108,0.2524,0.204,0.1114,0.1349,0.1753,0.2165,0.1984,0.2078
Rec,V,0.2,0.2545,0.8727,0.9636,0.8,0.7818,0.9273,0.8364,0.8182
Spe, ,0.9559,0.9516,0.6112,0.1027,0.4096,0.5799,0.5927,0.6008,0.641
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.8407,0.8296,0.5796,0.2759,0.4204,0.5963,0.5444,0.5889,0.5704
F1,S,0.3248,0.2284,0.2524,0.1851,0.2037,0.2438,0.2275,0.2245,0.2407
Gmean,31,0.5955,0.5078,0.6777,0.398,0.5709,0.6639,0.6374,0.6264,0.6561
B_Acc,C,0.6482,0.6038,0.6916,0.5839,0.626,0.6727,0.6534,0.6362,0.6674
Pre,S,0.2924,0.1808,0.149,0.1025,0.1155,0.1451,0.1334,0.1346,0.1423
Rec,V,0.4156,0.3311,0.8267,0.9556,0.8733,0.7645,0.7845,0.6933,0.7845
Spe, ,0.8807,0.8766,0.5566,0.2121,0.3787,0.581,0.5224,0.5791,0.5505
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.8515,0.8569,0.515,0.1645,0.2377,0.5545,0.4723,0.4545,0.5097
F1,S,0.02,0,0.3198,0.2481,0.2714,0.3225,0.3211,0.3288,0.3264
Gmean,32,0.04922,0,0.6018,0.07396,0.243,0.6127,0.5248,0.4871,0.6089
B_Acc,C,0.5021,0.5,0.6285,0.4969,0.5448,0.6203,0.6192,0.6193,0.6358
Pre,S,0.05,0,0.2013,0.1425,0.1581,0.209,0.2024,0.2087,0.2049
Rec,V,0.0125,0,0.7875,0.9625,0.975,0.7125,0.825,0.85,0.8125
Spe, ,0.9917,1,0.4696,0.03124,0.1146,0.5281,0.4134,0.3886,0.4592
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.8576,0.8362,0.6404,0.3453,0.5318,0.6546,0.6456,0.5995,0.6242
F1,S,0.6334,0.563,0.4441,0.3359,0.4079,0.4501,0.4465,0.4171,0.4405
Gmean,33,0.8056,0.7453,0.7178,0.3564,0.654,0.7203,0.7136,0.6886,0.7034
B_Acc,C,0.8103,0.7592,0.7324,0.5995,0.707,0.7331,0.7275,0.7085,0.7228
Pre,S,0.5636,0.5214,0.2995,0.204,0.2595,0.3088,0.3077,0.275,0.2985
Rec,V,0.7398,0.6439,0.869,0.9778,0.9672,0.8491,0.8485,0.8702,0.869
Spe, ,0.8808,0.8745,0.5957,0.2213,0.4468,0.617,0.6064,0.5468,0.5766
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.8823,0.9016,0.8894,0.7224,0.8014,0.8841,0.87,0.8981,0.884
F1,S,0.8462,0.8702,0.8621,0.7296,0.7835,0.8597,0.8418,0.8723,0.8547
Gmean,34,0.8781,0.8957,0.8948,0.7427,0.8228,0.8952,0.8788,0.902,0.8883
B_Acc,C,0.879,0.8965,0.8956,0.7756,0.833,0.8973,0.88,0.9036,0.8893
Pre,S,0.8299,0.8664,0.8137,0.582,0.6642,0.7887,0.7775,0.8316,0.8091
Rec,V,0.8674,0.8771,0.9198,0.9858,0.9576,0.9484,0.9197,0.9247,0.9103
Spe, ,0.8906,0.9159,0.8714,0.5655,0.7084,0.8462,0.8404,0.8826,0.8684
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.6844,0.6929,0.5917,0.3673,0.4357,0.6227,0.6072,0.5695,0.5797
F1,S,0.3431,0.3407,0.5211,0.4759,0.4922,0.5121,0.5371,0.5185,0.5261
Gmean,35,0.4887,0.4847,0.6295,0.2863,0.4378,0.638,0.649,0.6166,0.6207
B_Acc,C,0.5672,0.5712,0.6475,0.5548,0.5882,0.644,0.6655,0.6407,0.6497
Pre,S,0.4552,0.4722,0.3938,0.3134,0.3342,0.4087,0.4045,0.3824,0.3916
Rec,V,0.293,0.2866,0.7783,0.9941,0.9458,0.6943,0.8022,0.8078,0.8141
Spe, ,0.8413,0.8558,0.5168,0.1154,0.2306,0.5938,0.5289,0.4735,0.4854
